ID,DifGeo,CompAn,Alg,RealAn,Stat
ST-01,36,58,43,36,37
ST-02,62,54,50,46,52
ST-03,31,42,41,40,29
ST-04,76,78,69,66,81
ST-05,46,56,52,56,40
ST-06,12,42,38,38,28
ST-07,39,46,51,54,41
ST-08,30,51,54,52,32
ST-09,22,32,43,28,22
ST-10,9,40,47,30,24
ST-11,32,49,54,37,52
ST-12,40,62,51,40,49
ST-13,64,75,70,66,63
ST-14,36,38,58,62,62
ST-15,24,46,44,55,49
ST-16,50,50,54,52,51
ST-17,42,42,52,38,50
ST-18,2,35,32,22,16
ST-19,56,53,42,40,32
ST-20,59,72,70,66,62
ST-21,28,50,50,42,63
ST-22,19,46,49,40,30
ST-23,36,56,56,54,52
ST-24,54,57,59,62,58
ST-25,14,35,38,29,20
